sizes,probs,cells
46.2,0.2,2850
14.8,0.55,2850
52,0.89,3450
64,0.44,200
37,0.96,3650
41.8,0.69,4450
10.4,0.24,4100
39.8,0.62,1450
5.4,0.16,2150
23,0.49,3850
80.2,0.62,3250
91,0.59,4900
47.6,0.25,4700
97.8,0.36,3550
71.6,0.49,1750
90.8,0.54,400
15,0.86,2150
68,0.9,850
68.6,0.26,3050
55.4,0.77,2500
41.8,0.58,3400
18.4,0.75,2550
35,0.97,1150
86,0.08,450
56.2,0.79,4150
71.8,0.67,1000
53,0.42,600
81.4,0.32,400
45,0.81,4500
78.8,0.69,3700
24.4,0.5,3350
87.4,0.93,4800
40.2,0.02,1700
91.8,0.67,2000
66.6,0.75,850
37.8,0.94,2250
27.4,0.85,2950
11.2,0.85,4200
54.6,0.86,1300
76.4,0.17,1800
87.2,0.25,3600
44.4,0.24,4400
0.8,0.59,3800
15.8,0.38,2750
18,0.5,2950
83,0.54,4650
52,0.03,2700
66.8,0.37,3650
75.2,0.71,2900
10.2,0.8,1450
30.4,0.45,2300
9,0.15,650
0.2,0.62,450
26.2,0.1,300
73.6,0.41,3600
67.6,0.37,4300
17.8,0.01,2250
95.6,0.57,1300
5.2,0.66,2400
37,0.63,3450
3.2,0.32,4450
61.8,0.27,350
42.8,0.34,4450
30.8,0.22,4300
47.6,0.48,2450
31.2,0.75,3350
6.2,0.92,2100
56.2,0.89,4850
89.6,0.25,4800
77.4,0.85,300
10.6,0.32,1500
34.2,0.19,3350
81.4,0.36,550
34,0.62,500
93.2,0.44,1800
37.2,0.71,4550
82,0.63,4200
95.8,0.56,200
39,0.71,3450
3.6,0.92,650
85,0.35,4800
50.4,0.93,3750
82.6,0.8,250
22,0.96,2350
75.6,0.6,4150
40.6,0.48,3150
41.6,0.02,5000
83.2,0.21,4450
56.6,0.87,2000
93.4,0.91,700
3,0.7,1600
99,0.01,300
43.6,0.64,1600
70.8,0.81,3350
98.6,0.59,4300
79.4,0.73,2600
66.4,0.54,4050
41.8,0.7,3500
100,0.76,300
25.6,0.24,4250
34.8,0.87,2850
57.8,0.08,2850
36.2,0.98,3450
20.8,0.45,200
10.2,0.44,3650
97.8,0.16,4450
84.6,0.74,4100
25.6,0.6,1450
57.2,0.47,2150
45.4,0.17,3850
88.6,0.27,3250
25.8,0.86,4900
22.8,0.01,4700
21.2,0.69,3550
60.6,0.43,1750
66.2,0.34,400
57,0.31,2150
91,0.67,850
30.2,0.56,3050
38,0.65,2500
42.8,0.52,3400
85.2,0.15,2550
29.4,0.37,1150
63,0.87,450
43.4,0.69,4150
23.2,0.27,1000
1.8,0.3,600
81.4,0.29,400
40,0.22,4500
40.6,0.65,3700
88.2,0.11,3350
30.8,0.91,4800
93.8,0.83,1700
18.2,0.77,2000
66.6,0.87,850
41.4,0.13,2250
24.8,0.8,2950
48.4,0.94,4200
40.4,0.48,1300
30.8,0.06,1800
90.2,0.36,3600
93.6,0.3,4400
40.6,0.87,3800
90.2,0.69,2750
2.8,0.22,2950
26.8,0.84,4650
54.4,0.59,2700
97,0.92,3650
42.2,0.14,2900
70.2,0.65,1450
44.2,0.43,2300
60.4,0.06,650
77.2,0.21,450
29.4,0.26,300
12.6,0.25,3600
13.2,0.19,4300
48.8,0.79,2250
1,0.94,1300
66,0.65,2400
71.2,0.52,3450
44.8,0.13,4450
43.2,0.13,350
19.8,0.8,4450
33,0.04,4300
39,0.89,2450
21.4,0.43,3350
55,0.98,2100
1,0.13,4850
64.8,0.83,4800
20.6,0.06,300
82.6,0.96,1500
41.4,0.28,3350
73.8,0.69,550
23.4,0.77,500
31.4,0.67,1800
54.8,0.86,4550
67.2,0.36,4200
81.4,0.68,200
23,0.63,3450
100,0.49,650
68,0.74,4800
43.2,0.81,3750
39,0.79,250
7.8,0.67,2350
45.2,0.69,4150
28.6,0.64,3150
28.4,0.48,5000
7.6,0.33,4450
43,0.65,2000
77,0.31,700
85.6,0.41,1600
79.6,0.4,300
1,0.16,1600
40,0.04,3350
85.8,0.71,4300
75.8,0.2,2600
15.6,0.39,4050
98.2,0.27,3500
97.6,0.23,300
30.2,0.69,4250
43.8,0.48,2850
54.8,0.37,2850
2.8,0.73,3450
95.2,0.98,200
43.2,0.48,3650
14.8,0.5,4450
15.4,0.26,4100
54.8,0.06,1450
85.6,0.83,2150
37.6,0.69,3850
82.2,0.05,3250
92.8,0.46,4900
52.2,0.06,4700
59,0.21,3550
55,0.73,1750
64.6,0.1,400
35.2,0.43,2150
37.6,0.23,850
70,0.29,3050
32.4,0.47,2500
57.4,0.91,3400
89.2,0.44,2550
21.4,0.1,1150
22.8,0.96,450
83,0.37,4150
61.6,0.1,1000
51.4,0.11,600
3,0.74,400
9.6,0.77,4500
92,0.22,3700
88.8,0.09,3350
86.6,0.91,4800
55.4,0.97,1700
93.2,0.74,2000
7,0.82,850
53,0.33,2250
45.6,0.03,2950
31.8,0.8,4200
99.4,0.63,1300
55.8,0.75,1800
5,0.59,3600
48.8,0.24,4400
34.8,0.17,3800
29.6,0.32,2750
4.8,0.12,2950
61.4,0.84,4650
16.6,0.64,2700
1.6,0.65,3650
57.8,0.09,2900
24.8,0.8,1450
12.6,0.31,2300
54,0.04,650
81.8,0.9,450
25.2,0.28,300
98.8,0.21,3600
38.6,0.62,4300
28.2,0.67,2250
89.2,0.04,1300
81.2,0.31,2400
26.2,0.32,3450
40.4,0.16,4450
97.6,0.69,350
83.6,0.49,4450
8.8,0.04,4300
24.2,0.36,2450
90.4,0.85,3350
18.2,0.82,2100
80.4,0.09,4850
0.4,0.51,4800
29.6,0.25,300
97,0.82,1500
97.4,0.62,3350
47,0.67,550
1.8,0.47,500
6.8,0.19,1800
7.4,0.48,4550
59.8,0.07,4200
44.2,0.27,200
77,0.03,3450
52.2,0.13,650
15.2,0.13,4800
69,0.01,3750
54.6,0.18,250
36.4,0.14,2350
16.2,0.79,4150
4.2,0.21,3150
64,0.52,5000
16,0.73,4450
84.4,0.84,2000
78.8,0.81,700
2.4,0.37,1600
69.8,0.99,300
95.4,0.25,1600
90.6,0.79,3350
43.8,0.67,4300
19.8,0.89,2600
36.6,0.05,4050
50.4,0.14,3500
18.4,0.26,300
9.4,0.36,4250
96.2,0.14,2850
79,0.65,2850
52.6,0.86,3450
95.8,0.47,200
30,0.06,3650
23.6,0.05,4450
53.2,0.21,4100
54.2,0.15,1450
56.6,0.63,2150
8.2,0.68,3850
94.2,0.41,3250
94.6,0.5,4900
7,0.84,4700
32.2,0.49,3550
78.6,0.91,1750
63.8,0.03,400
33.4,0.58,2150
25.6,0.45,850
83.8,0.19,3050
80.8,0.5,2500
97.6,0.28,3400
18.6,0.1,2550
25.2,0.57,1150
81.4,0.02,450
16,0.59,4150
81,0.21,1000
80,0.23,600
50,0.72,400
68,0.98,4500
91,0.36,3700
7.8,0.52,3350
82.8,0.53,4800
88,0.44,1700
78,0.55,2000
2.2,0.68,850
11.2,0.89,2250
46.8,0.47,2950
93.4,0.17,4200
10.8,0.65,1300
89,0.59,1800
36.4,0.02,3600
66.2,0.79,4400
94.6,0.57,3800
0.2,0.67,2750
38.2,0.44,2950
55.6,0.66,4650
25.4,0.18,2700
26.2,0.52,3650
83.4,0.47,2900
83.2,0.69,1450
91,0.29,2300
97.2,0.36,650
27.6,0.13,450
46,0.24,300
21.8,0.24,3600
91.8,0.1,4300
38.2,0.17,2250
32,0.75,1300
25.8,0.22,2400
84.2,0.11,3450
50.2,0.46,4450
50.6,0.78,350
55,0.81,4450
2.6,0.91,4300
80.2,0.39,2450
9.4,0.49,3350
85.2,0.8,2100
82.4,0.38,4850
96,0.01,4800
58,0.92,300
75.6,0.39,1500
55.4,0.02,3350
95.6,0.15,550
65.8,0.69,500
11.2,0.88,1800
77,0.45,4550
33,0.68,4200
100,0.55,200
6.8,0.48,3450
76.2,0.88,650
97.2,0.68,4800
27.8,0.37,3750
0.6,0.71,250
70.8,0.04,2350
81.6,0.28,4150
76.4,0.41,3150
26,0.51,5000
69.6,0.93,4450
94.4,0.84,2000
77.8,0.59,700
49.6,0.87,1600
20.4,0.58,300
34.2,0.92,1600
38,0.73,3350
91.4,0.38,4300
14,0.28,2600
91,0.7,4050
93.2,0.06,3500
68,0.99,300
51.4,0.78,4250
4,0.73,2850
12.8,0.04,2850
81.8,0.93,3450
27,0.46,200
81.6,0.95,3650
83.6,0.83,4450
15,0.21,4100
90.4,0.05,1450
25.2,0.38,2150
46.4,0.46,3850
83,0.38,3250
3.4,0.89,4900
33.8,0.19,4700
34.6,0.69,3550
34.4,0.17,1750
36.2,0.1,400
2.2,0.28,2150
67.2,0.43,850
66.8,0.34,3050
23.8,0.55,2500
11.6,0.48,3400
63,0.76,2550
50.4,0.3,1150
75.8,0.26,450
49,0.58,4150
13.4,0.89,1000
52.2,0.73,600
12,0.99,400
0.6,0.08,4500
28.6,0.96,3700
49.2,0.98,3350
9.6,0.52,4800
90.4,0.76,1700
83.2,0.63,2000
99.2,0.2,850
2,0.55,2250
94.2,0.42,2950
99.6,0.15,4200
29.2,0.9,1300
48.6,0.26,1800
39.8,0.67,3600
98.8,0.79,4400
41.8,0.33,3800
67.6,0.26,2750
8.2,0.1,2950
72.2,0.41,4650
34.2,0.25,2700
81.4,0.5,3650
13.6,0.17,2900
10,0.17,1450
90.2,0.22,2300
67.2,0.49,650
29.6,0.91,450
5.6,0.26,300
62.6,0.16,3600
81.8,0.71,4300
74.4,0.47,2250
69.8,0.01,1300
80.4,0.68,2400
52.8,0.17,3450
50.8,0.18,4450
33,0.35,350
92.6,0.27,4450
2.8,0.17,4300
80,0.56,2450
26.4,0.07,3350
18,0.33,2100
55.2,0.88,4850
33.2,0.38,4800
86.2,0.03,300
58.8,0.4,1500
21.6,0.45,3350
57.8,0.2,550
5.2,0.12,500
27.4,0.81,1800
91.8,0.32,4550
4.4,0.41,4200
90.4,0.69,200
8.8,0.56,3450
50.2,0.51,650
68.8,0.47,4800
17.8,0.14,3750
48.8,0.05,250
76,0.36,2350
10.2,0.7,4150
45.2,0.81,3150
94.8,0.38,5000
17.2,0.74,4450
17.6,0.99,2000
22,0.59,700
25,0.94,1600
86.4,0.99,300
25.8,0.29,1600
43.8,0.35,3350
34.2,0.81,4300
34.2,0.13,2600
87.2,0.21,4050
21.8,0.39,3500
2.6,0.29,300
23.2,0.74,4250
33.8,0.09,2850
72.6,0.92,2850
59,0.59,3450
27.2,0.04,200
35,0.39,3650
5.4,0.79,4450
33.2,0.86,4100
92.2,0.74,1450
53.4,0.41,2150
72.4,0.18,3850
66.8,0.11,3250
23.4,0.47,4900
1.4,0.18,4700
22.4,0.37,3550
27.4,0.72,1750
24.4,0.18,400
82.6,0.89,2150
85.6,0.46,850
59,0.3,3050
85.8,0.93,2500
40,0.21,3400
71,0.34,2550
55.2,0.83,1150
20,0.94,450
92,0.78,4150
19.6,0.77,1000
36.2,0.57,600
19.2,0.29,400
50,0.84,4500
49.2,0.63,3700
79.2,0.52,3350
28.6,0.69,4800
22,0.73,1700
1.4,0.53,2000
16.4,0.09,850
35,0.34,2250
34.8,0.48,2950
26.8,0.66,4200
89.2,0.77,1300
14.4,0.05,1800
5.2,0.21,3600
16.2,0.64,4400
7.8,0.98,3800
16.8,0.94,2750
49.2,0.25,2950
90.4,0.76,4650
70.8,0.57,2700
52,0.17,3650
69,0.48,2900
31,0.36,1450
27.8,0.82,2300
68.4,0.58,650
50,0.28,450
16.8,0.08,300
44.6,0.15,3600
10.6,0.08,4300
78.8,0.08,2250
89,0.08,1300
42.8,0.13,2400
92.2,0.1,3450
22.4,0.77,4450
99.6,0.15,350
58.8,0.54,4450
76.4,0.4,4300
90.8,0.87,2450
65.8,0.34,3350
50.2,0.2,2100
35.2,0.11,4850
2.2,0.38,4800
73.4,0.21,300
98.8,0.1,1500
43.2,0.56,3350
97,0.54,550
40.8,0.48,500
77,0.68,1800
16.8,0.56,4550
84.4,0.13,4200
17.2,0.3,200
35.6,0.22,3450
6.6,0.4,650
2.4,0.13,4800
4.2,0.23,3750
48.6,0.19,250
47.4,0.72,2350
71.4,0.42,4150
20.6,0.35,3150
43.2,0.77,5000
73,0.74,4450
3.8,0.54,2000
81.4,0.53,700
51.4,0.63,1600
94,0.95,300
27.2,0.95,1600
1.4,0.07,3350
4.4,0.99,4300
20,0.13,2600
12.4,0.02,4050
86.4,0.63,3500
85.6,0.74,300
6,0.45,4250
17.4,0.82,2850
72.4,0.43,2850
52.6,0.34,3450
29.2,0.24,200
23.4,0.12,3650
94.8,0.79,4450
94.2,0.93,4100
86.6,0.27,1450
48.8,0.67,2150
50.8,0.32,3850
77,0.28,3250
100,0.17,4900
22,0.68,4700
66.4,0.06,3550
20.4,0.65,1750
12.6,0.34,400
40,0.54,2150
2.4,0.63,850
27.8,0.76,3050
98.8,0.34,2500
23.6,0.27,3400
78.6,0.47,2550
25,0.6,1150
89.4,0.79,450
21.8,0.93,4150
3,0.89,1000
9.4,0.12,600
7.2,0.36,400
93.2,0.69,4500
73,0.79,3700
63.8,0.54,3350
37,0.39,4800
2.6,0.84,1700
85.2,0.67,2000
16.2,0.77,850
85.2,0.56,2250
29,0.63,2950
17.2,0.38,4200
80.8,0.95,1300
36.6,0.98,1800
51.6,0.95,3600
30.6,0.12,4400
43.8,0.84,3800
95.8,0.56,2750
4.8,0.6,2950
17.2,0.99,4650
42.2,0.74,2700
2,0.27,3650
73.8,0.78,2900
64.8,0.76,1450
27,0.77,2300
73.2,0.16,650
2.8,0.7,450
21.8,0.01,300
69.4,0.94,3600
69.6,0.84,4300
45.6,0.65,2250
47.2,0.3,1300
41,0.27,2400
82,0.24,3450
65,0.76,4450
10.6,0.04,350
26.8,0.21,4450
4,0.99,4300
24,0.51,2450
48.6,0.33,3350
83.2,0.32,2100
65.8,0.61,4850
3,0.65,4800
59.8,0.8,300
15.2,0.62,1500
79.8,0.77,3350
38,0.09,550
97.4,0.53,500
8.4,0.25,1800
32.8,0.82,4550
78.2,0.45,4200
80.4,0.26,200
3.2,0.43,3450
31.8,0.43,650
81.8,0.64,4800
7.6,0.62,3750
59.4,0.05,250
56.8,0.18,2350
19.6,0.29,4150
9.2,0.56,3150
89,0.41,5000
9.4,0.53,4450
34.6,0.14,2000
64.8,0.05,700
47.6,0.06,1600
61.4,0.85,300
38.4,0.82,1600
0.8,0.23,3350
49.6,0.64,4300
69.8,0.35,2600
21.2,0.95,4050
14.8,0.86,3500
33.2,0.59,300
28,0.85,4250
35.8,0.26,2850
58.8,0.28,2850
23,0.97,3450
44.4,0.93,200
62.6,0.51,3650
7.6,0.95,4450
37.2,0.84,4100
98,0.79,1450
72.4,0.25,2150
82.6,0.67,3850
44.8,0.36,3250
1.6,0.97,4900
58.4,0.2,4700
2.4,0.92,3550
85,0.66,1750
37.6,0.74,400
99.8,0.49,2150
64.2,0.01,850
22.8,0.38,3050
95,0.41,2500
42.2,0.16,3400
73.8,0.13,2550
93,0.05,1150
35.4,0.36,450
65.6,0.86,4150
40.4,0.2,1000
63.6,0.31,600
55.6,0.79,400
93,0.73,4500
61,0.01,3700
61.2,0.32,3350
65.4,0.97,4800
14.6,0.32,1700
56.6,0.22,2000
47,0.53,850
14,0.96,2250
6,0.08,2950
61.2,0.5,4200
23,0.32,1300
65,0.28,1800
7.4,0.28,3600
19.2,0.26,4400
80.6,0.18,3800
50.6,0.74,2750
99.4,0.57,2950
64.4,0.71,4650
72.2,0.72,2700
55.4,0.36,3650
41,0.32,2900
29,0.34,1450
27.2,0.2,2300
73,0.58,650
97.8,0.64,450
71,0.3,300
79.8,0.03,3600
90.4,0.3,4300
25.8,0.45,2250
74.4,0.6,1300
8,0.44,2400
35,0.54,3450
11.8,0.71,4450
66.2,0.03,350
21.2,0.52,4450
16,0.74,4300
56,0.7,2450
31.2,0.38,3350
38,0.58,2100
1.6,0.97,4850
1.2,0.27,4800
6.4,0.59,300
95.4,0.52,1500
25,0.03,3350
65,0.04,550
53,0.96,500
19.6,0.81,1800
71.4,0.82,4550
65.6,0.57,4200
94,0.74,200
96,0.1,3450
97.8,0.1,650
56.6,0.09,4800
44.2,0.26,3750
30.2,0.85,250
60.8,0.2,2350
62.4,0.24,4150
70.8,0.74,3150
26.4,0.84,5000
42,0.84,4450
53.4,0.05,2000
97.8,0.25,700
33.8,0.46,1600
25.8,0.49,300
35.8,0.97,1600
73,0.6,3350
71.8,0.5,4300
74.4,0.86,2600
9.8,0.89,4050
35,0.5,3500
13.2,0.82,300
51.8,0.82,4250
25.6,0.13,2850
52.2,0.97,2850
30,0.63,3450
57,0.86,200
49,0.09,3650
55.6,0.97,4450
90.8,0.92,4100
17.6,0.93,1450
15,0.55,2150
30.6,0.77,3850
24.4,0.6,3250
75.6,0.77,4900
38.2,0.64,4700
39.6,0.31,3550
88.8,0.63,1750
53.4,0.74,400
51.2,0.46,2150
71.2,0.79,850
80.4,0.57,3050
87.6,0.92,2500
12,0.39,3400
69.4,0.89,2550
40.4,0.88,1150
46,0.67,450
52.6,0.15,4150
37.4,0.41,1000
80.6,0.47,600
9.2,0.89,400
27,0.54,4500
60.4,0.51,3700
81.6,0.92,3350
49.2,0.16,4800
87.2,0.12,1700
42.6,0.67,2000
3.8,0.4,850
25.6,0.94,2250
73.4,0.51,2950
8.8,0.25,4200
92.6,0.06,1300
70.6,0.31,1800
15.4,0.69,3600
25,0.54,4400
75,0.31,3800
5.6,0.78,2750
93.2,0.9,2950
25.8,0.71,4650
85.2,0.79,2700
8.4,0.61,3650
96,0.3,2900
41.4,0.03,1450
94.8,0.82,2300
78,0.54,650
3,0.2,450
86.4,0.21,300
26.2,0.29,3600
91,0.73,4300
14.8,0.46,2250
12,0.66,1300
49.2,0.75,2400
81.6,0.03,3450
45,0.93,4450
1.6,0.99,350
50.4,0.28,4450
85.2,0.95,4300
65.4,0.99,2450
55.2,0.1,3350
53.2,0.47,2100
44,0.64,4850
3.8,0.31,4800
25.6,0.29,300
82.2,0.85,1500
98,0.91,3350
15.4,0.63,550
42.6,0.03,500
85,0.78,1800
79,0.98,4550
72.4,0.37,4200
29,0.6,200
38.6,0.24,3450
20.8,0.89,650
23.8,0.98,4800
34.8,0.33,3750
20.2,0.99,250
40,0.02,2350
85.2,0.69,4150
82,0.81,3150
58,0.76,5000
27.6,0.53,4450
50.6,0.28,2000
19.8,0.83,700
48,0.54,1600
26.8,0.77,300
42.2,0.26,1600
36.6,0.74,3350
40.2,0.45,4300
55.6,0.2,2600
90,0.31,4050
15.4,0.42,3500
79,0.34,300
48,0.62,4250
2,0.24,2850
25.6,0.22,2850
21.6,0.7,3450
37.6,0.63,200
18,0.04,3650
42.6,0.38,4450
17.4,0.93,4100
54,0.23,1450
14.4,0.95,2150
82.2,0.66,3850
80.2,0.95,3250
38.2,0.54,4900
41,0.29,4700
77.8,0.06,3550
47.8,0.19,1750
93.2,0.93,400
64.2,0.96,2150
37.4,0.53,850
90.2,0.23,3050
94.4,0.3,2500
33.2,0.34,3400
95.2,0.65,2550
17.6,0.62,1150
20.8,0.88,450
89.8,0.83,4150
64.2,0.14,1000
81.6,0.22,600
23.8,0.65,400
20.8,0.75,4500
14.6,0.45,3700
63,0.88,3350
70.8,0.65,4800
86.8,0.58,1700
90.8,0.76,2000
33.8,0.69,850
25.2,0.18,2250
22.4,0.61,2950
75.2,0.97,4200
10.8,0.24,1300
48.2,0.06,1800
47.8,0.3,3600
44.8,0.09,4400
13.6,0.65,3800
30.8,0.56,2750
34.8,0.15,2950
74.2,0.47,4650
94.2,0.99,2700
86.6,0.82,3650
61.2,0.89,2900
56.8,0.98,1450
96.4,0.3,2300
34,0.56,650
64.8,0.97,450
34.8,0.12,300
59.2,0.86,3600
49.4,0.77,4300
45.2,0.04,2250
3.2,0.33,1300
40.8,0.83,2400
32,0.41,3450
67,0.85,4450
35.4,0.05,350
46.4,0.38,4450
64.2,0.8,4300
46.6,0.81,2450
23.6,0.78,3350
29.2,0.31,2100
72,0.36,4850
14.8,0.04,4800
88.4,0.21,300
87,0.48,1500
3.4,0.43,3350
25.8,0.86,550
29.6,0.53,500
15.8,0.85,1800
82.4,0.08,4550
46.8,0.53,4200
47.6,0.97,200
53,0.94,3450
48.2,0.19,650
6,0.31,4800
19.4,0.37,3750
67.8,0.88,250
16.2,0.12,2350
70,0.37,4150
87,0.59,3150
24.6,0.47,5000
1.4,0.37,4450
9.2,0.94,2000
4,0.12,700
9.4,0.1,1600
27.6,0.28,300
61.2,0.17,1600
14.6,0.62,3350
47.8,0.44,4300
50.6,0.69,2600
61.8,0.7,4050
63.8,0.96,3500
57.2,0.81,300
4,0.41,4250
12,0.98,2850
33,0.69,2850
30.8,0.11,3450
80.2,0.57,200
84.8,0.49,3650
10.6,0.88,4450
31.4,0.76,4100
84.6,0.6,1450
4.6,0.01,2150
82.2,0.77,3850
46.8,0.36,3250
45.6,0.32,4900
14,0.75,4700
14.2,0.28,3550
40.6,0.78,1750
22,0.29,400
41.4,0.05,2150
10,0.83,850
83.4,0.64,3050
83.8,0.05,2500
33.8,0.68,3400
89.6,0.4,2550
72.6,0.37,1150
49.6,0.03,450
23,0.47,4150
35.2,0.21,1000
78.8,0.33,600
59.8,0.18,400
81,0.66,4500
72.2,0.44,3700
45.8,0.86,3350
99.6,0.56,4800
62.2,0.44,1700
97.2,0.69,2000
2.8,0.5,850
4,0.41,2250
73.2,0.59,2950
42.6,0.13,4200
21,0.19,1300
38,0.41,1800
91,0.2,3600
62.6,0.12,4400
94,0.55,3800
78.2,0.11,2750
52.4,0.22,2950
20.2,0.6,4650
45.8,0.07,2700
91.6,0.15,3650
75.4,0.61,2900
28,0.38,1450
69.4,0.34,2300
34,0.74,650
25.4,0.21,450
95.6,0.55,300
24.2,0.01,3600
97.2,0.53,4300
76.8,0.94,2250
81.2,0.03,1300
49.6,0.89,2400
70.2,0.17,3450
47.2,0.09,4450
48.2,0.56,350
56.2,0.02,4450
26.8,0.92,4300
71.6,0.75,2450
44,0.3,3350
14.2,0.12,2100
73,0.36,4850
44,0.66,4800
9,0.98,300
49.8,0.2,1500
24.4,0.54,3350
14.6,0.71,550
24.2,0.81,500
42.2,0.48,1800
46.8,0.63,4550
80.4,0.63,4200
90.2,0.54,200
68,0.72,3450
8,0.47,650
71.2,0.51,4800
83.8,0.8,3750
1.4,0.13,250
53.6,0.62,2350
64.6,0.89,4150
73.2,0.17,3150
15.8,0.21,5000
89.2,0.38,4450
33.8,0.83,2000
52.8,0.76,700
84.6,0.08,1600
95,0.47,300
98.2,0.31,1600
55.6,0.73,3350
68.2,0.31,4300
1.4,0.59,2600
38.4,0.76,4050
18.8,0.32,3500
14.2,0.98,300
47,0.37,4250
37.6,0.57,2850
89,0.15,2850
79,0.1,3450
35.6,0.53,200
75.2,0.89,3650
75,0.05,4450
55.4,0.4,4100
2.6,0.85,1450
91.8,0.11,2150
27.6,0.3,3850
64.6,0.36,3250
3.8,0.44,4900
80.8,0.91,4700
69,0.41,3550
20.6,0.06,1750
82.2,0.37,400
19.6,0.43,2150
99.8,0.01,850
44,0.24,3050
68,0.18,2500
67.6,0.72,3400
31.2,0.29,2550
45.8,0.63,1150
57,0.2,450
78.8,0.94,4150
68.6,0.18,1000
67.8,0.01,600
39.8,0.23,400
91,0.9,4500
65.8,0.13,3700
20.6,0.51,3350
4.2,0.48,4800
27.4,0.51,1700
86,0.46,2000
33.2,0.63,850
78.8,0.32,2250
26.2,0.01,2950
96.4,0.67,4200
80.4,0.55,1300
77.2,0.19,1800
68.4,0.38,3600
90.2,0.19,4400
34,0.49,3800
28.8,0.6,2750
59.8,0.4,2950
71.8,0.81,4650
19,0.21,2700
52,0.31,3650
28.6,0.78,2900
44.2,0.91,1450
14.2,0.19,2300
66.2,0.65,650
58.6,0.29,450
22.2,0.84,300
19.6,0.66,3600
31.2,0.2,4300
15,0.35,2250
66.2,0.23,1300
53,0.47,2400
80,0.1,3450
71.8,0.3,4450
41,0.01,350
20.8,0.89,4450
77.6,0.92,4300
80.8,0.37,2450
47.4,0.89,3350
50.4,0.49,2100
44.6,0.79,4850
13.6,0.38,4800
25.6,0.39,300
97,0.15,1500
12.8,0.8,3350
29,0.13,550
89.2,0.57,500
79.8,0.23,1800
93.8,0.94,4550
87,0.69,4200
98.6,0.16,200
27,0.53,3450
92,0.77,650
8.6,0.09,4800
72.8,0.67,3750
59.2,0.32,250
95.8,0.92,2350
56.4,0.51,4150
8,0.23,3150
92.4,0.43,5000
58.6,0.89,4450
99.2,0.37,2000
73.8,0.99,700
11.8,0.74,1600
8.4,0.33,300
83.8,0.95,1600
16,0.24,3350
55.4,0.87,4300
81.8,0.34,2600
57.2,0.63,4050
84,0.24,3500
82.8,0.55,300
60.4,0.56,4250
69.2,0.48,2850
35.8,0.68,2850
7.2,0.64,3450
52.4,0.06,200
86.2,0.93,3650
73,0.38,4450
48.2,0.58,4100
84.2,0.13,1450
52.4,0.68,2150
82,0.98,3850
5,0.66,3250
94,0.95,4900
11.8,0.93,4700
11.2,0.58,3550
50.8,0.13,1750
11.2,0.32,400
45,0.69,2150
68.4,0.53,850
42.8,0.52,3050
11,0.49,2500
1,0.44,3400
61.4,0.52,2550
26,0.81,1150
7.2,0.79,450
58.4,0.76,4150
44.4,0.74,1000
82.6,0.62,600
6,0.69,400
23,0.74,4500
39.4,0.37,3700
96,0.33,3350
65.8,0.79,4800
48.8,0.83,1700
73.4,0.11,2000
75.4,0.63,850
49.2,0.8,2250
53.4,0.25,2950
1,0.82,4200
96.8,0.91,1300
7.8,0.93,1800
3.8,0.1,3600
90,0.59,4400
4.2,0.95,3800
34.8,0.23,2750
99,0.26,2950
58.2,0.32,4650
64.2,0.61,2700
4.4,0.64,3650
81.2,0.45,2900
79,0.75,1450
52.6,0.65,2300
58,0.11,650
43.8,0.77,450
70,0.79,300
93.6,0.88,3600
78,0.76,4300
63.6,0.52,2250
16,0.69,1300
59.8,0.33,2400
37.6,0.04,3450
88,0.02,4450
34.4,0.62,350
48.6,0.56,4450
30,0.39,4300
77.2,0.56,2450
25.6,0.68,3350
8.4,0.28,2100
80,0.79,4850
67.4,0.7,4800
24.8,0.68,300
67.8,0.53,1500
73.4,0.82,3350
56.4,0.28,550
27.4,0.96,500
70,0.47,1800
94.2,0.06,4550
14.8,0.17,4200
89.6,0.51,200
15,0.04,3450
37.2,0.22,650
33,0.88,4800
36.6,0.73,3750
53.6,0.07,250
80.6,0.01,2350
54.8,0.82,4150
76.2,0.66,3150
1.2,0.73,5000
23.4,0.77,4450
51.4,0.12,2000
15.4,0.47,700
67.6,0.21,1600
37.8,0.62,300
24.4,0.72,1600
28.6,0.35,3350
30,0.23,4300
98.6,0.49,2600
37.8,0.71,4050
31.6,0.73,3500
43.8,0.44,300
27.8,0.99,4250
29.8,0.95,2850
13.4,0.47,2850
2.4,0.67,3450
96,0.45,200
52.6,0.61,3650
92,0.64,4450
49.4,0.58,4100
31.4,0.63,1450
94.4,0.65,2150
84.8,0.91,3850
4.8,0.12,3250
56,0.81,4900
3,0.59,4700
80.8,0.84,3550
67,0.38,1750
74.2,0.93,400
30,0.77,2150
87.2,0.38,850
38.4,0.12,3050
42.4,0.41,2500
20.6,0.42,3400
16.8,0.74,2550
27.2,0.31,1150
0.8,0.85,450
64.8,0.64,4150
54.8,0.88,1000
19,0.32,600
44.4,0.22,400
13.6,0.93,4500
81,0.55,3700
70.2,0.33,3350
55.4,0.19,4800
66.4,0.27,1700
32.4,0.91,2000
57.4,0.54,850
15.8,0.99,2250
30.4,0.1,2950
54.2,0.69,4200
25.2,0.79,1300
97,0.92,1800
17,0.29,3600
78.4,0.49,4400
62.2,0.26,3800
88,0.32,2750
86.6,0.38,2950
22.6,0.36,4650
90.8,0.14,2700
30.6,0.69,3650
52.2,0.39,2900
51.2,0.47,1450
